,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
19,"Thu, Oct 29, 2015",10:30p,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,"19,218",STAPLES Center,
20,"Fri, Oct 30, 2015",7:00p,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,"20,562",Quicken Loans Arena,
21,"Fri, Oct 30, 2015",7:00p,Utah Jazz,99,Philadelphia 76ers,71,Box Score,,"17,122",Wells Fargo Center,
22,"Fri, Oct 30, 2015",7:00p,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,"18,846",Amway Center,
23,"Fri, Oct 30, 2015",7:30p,Toronto Raptors,113,Boston Celtics,103,Box Score,,"16,898",TD Garden,
24,"Fri, Oct 30, 2015",7:30p,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,"16,035",The Palace of Auburn Hills,
25,"Fri, Oct 30, 2015",8:00p,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,"17,024",Philips Arena,
26,"Fri, Oct 30, 2015",8:00p,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,"13,858",BMO Harris Bradley Center,
27,"Fri, Oct 30, 2015",8:30p,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,"18,418",AT&T Center,
28,"Fri, Oct 30, 2015",9:00p,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,"17,660",Pepsi Center,
29,"Fri, Oct 30, 2015",9:30p,Golden State Warriors,112,Houston Rockets,92,Box Score,,"18,142",Toyota Center,
30,"Fri, Oct 30, 2015",10:00p,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,"17,391",Sleep Train Arena,
31,"Fri, Oct 30, 2015",10:30p,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,"18,055",Talking Stick Resort Arena,
32,"Sat, Oct 31, 2015",7:00p,Utah Jazz,97,Indiana Pacers,76,Box Score,,"14,412",Bankers Life Fieldhouse,
33,"Sat, Oct 31, 2015",7:00p,New York Knicks,117,Washington Wizards,110,Box Score,,"20,356",Verizon Center,
34,"Sat, Oct 31, 2015",7:30p,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,"18,406",Smoothie King Center,
35,"Sat, Oct 31, 2015",8:00p,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,"16,013",FedEx Forum,
36,"Sat, Oct 31, 2015",10:00p,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,"17,906",Moda Center,
37,"Sat, Oct 31, 2015",10:30p,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,"19,060",STAPLES Center,
38,"Sun, Nov 1, 2015",2:00p,Atlanta Hawks,94,Charlotte Hornets,92,Box Score,,"18,691",Time Warner Cable Arena,
39,"Sun, Nov 1, 2015",3:30p,San Antonio Spurs,95,Boston Celtics,87,Box Score,,"17,461",TD Garden,
40,"Sun, Nov 1, 2015",6:00p,Houston Rockets,89,Miami Heat,109,Box Score,,"19,600",AmericanAirlines Arena,
41,"Sun, Nov 1, 2015",6:00p,Milwaukee Bucks,87,Toronto Raptors,106,Box Score,,"19,800",Air Canada Centre,
42,"Sun, Nov 1, 2015",7:00p,Orlando Magic,87,Chicago Bulls,92,Box Score,,"21,585",United Center,
43,"Sun, Nov 1, 2015",7:00p,Denver Nuggets,93,Oklahoma City Thunder,117,Box Score,,"18,203",Chesapeake Energy Arena,
44,"Sun, Nov 1, 2015",9:30p,Dallas Mavericks,103,Los Angeles Lakers,93,Box Score,,"18,997",STAPLES Center,
45,"Mon, Nov 2, 2015",7:00p,Cleveland Cavaliers,107,Philadelphia 76ers,100,Box Score,,"18,094",Wells Fargo Center,
46,"Mon, Nov 2, 2015",7:30p,Milwaukee Bucks,103,Brooklyn Nets,96,Box Score,,"12,576",Barclays Center,
47,"Mon, Nov 2, 2015",7:30p,San Antonio Spurs,94,New York Knicks,84,Box Score,,"19,812",Madison Square Garden (IV),
48,"Mon, Nov 2, 2015",8:00p,Oklahoma City Thunder,105,Houston Rockets,110,Box Score,,"17,224",Toyota Center,
49,"Mon, Nov 2, 2015",8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,101,Box Score,,"18,903",Target Center,
50,"Mon, Nov 2, 2015",10:30p,Memphis Grizzlies,69,Golden State Warriors,119,Box Score,,"19,596",Oracle Arena,
51,"Mon, Nov 2, 2015",10:30p,Phoenix Suns,96,Los Angeles Clippers,102,Box Score,,"19,060",STAPLES Center,
52,"Tue, Nov 3, 2015",7:00p,Chicago Bulls,105,Charlotte Hornets,130,Box Score,,"15,136",Time Warner Cable Arena,
53,"Tue, Nov 3, 2015",7:30p,Indiana Pacers,94,Detroit Pistons,82,Box Score,,"13,325",The Palace of Auburn Hills,
